2,0.754684670015527/
3,0.8266911824598667/
4,0.8334595741214965/
5,0.8343575531397948/
6,0.839887655722396/
7,0.845061460586816/
8,0.8496787351150913/
9,0.8559088311781765/
10,0.8596308892947638/
11,0.8634945033430482/
12,0.8653208891904275/
13,0.8691026012347546/
14,0.8694679820181273/
15,0.8709109278131015/
16,0.8716616210751464/
17,0.8730018576910962/
18,0.8736337569242413/
19,0.8734416030542833/
20,0.8747526522425791/
21,0.8741895542714848/
22,0.874191802425959/
23,0.8759320681018424/
24,0.8765882553641937/
25,0.8764162520662769/
26,0.8770775641449613/
27,0.8763064716658091/
28,0.8771726643280326/
29,0.8778109016169322/
30,0.8770328451856587/
31,0.8775469574948954/
32,0.8773016249537876/
33,0.8782587517975075/
34,0.8797906128587228/
35,0.8789123670983581/
36,0.8793636734643919/
37,0.8795965768935717/
38,0.878852434879619/
39,0.8791098897380424/
40,0.8793875067413003/
41,0.8784205781904878/
42,0.8791762004697157/
43,0.8795108977121331/
44,0.8805542999333289/
45,0.8800940560119598/
46,0.8808467879078852/
47,0.8803219160151324/
48,0.8806971758162081/
49,0.8804310053525765/
50,0.8805323782207595/
51,0.8812197367676637/
52,0.8822210323938409/
53,0.8805239695869513/
54,0.8801070727117253/
55,0.8821008330117125/
56,0.8808678482021068/
57,0.8811370808730625/
58,0.8819574843577916/
59,0.8820131689398467/
60,0.8803875231998521/
61,0.8807440975907457/
62,0.8816344503558936/
63,0.8815394430543472/
64,0.8816764441331771/
65,0.8809431058996594/
66,0.8824855441131088/
67,0.8821394214775908/
68,0.8821034734308407/
69,0.8827603316160199/
70,0.8818703862240727/
71,0.8816819469487588/
72,0.8820458356169514/
73,0.8828132712294352/
74,0.8821320505058442/
75,0.882139048618784/
76,0.8819248878245971/
77,0.8817573045721452/
78,0.8816814402480825/
79,0.8825846434645856/
80,0.881466777404095/
81,0.8817372308755449/
82,0.8818299515780972/
83,0.8819059446579839/
84,0.8824865182132011/
85,0.882138699286337/
86,0.8822135411384795/
87,0.8825794525296617/
88,0.881897077341752/
89,0.8816873461259654/
90,0.8819914021204792/
91,0.8828312085013723/
