2,0.00094000006/
3,0.00088360003/
4,0.00083058403/
5,0.000780749/
6,0.0007339041/
7,0.0006898698/
8,0.00064847764/
9,0.00060956896/
10,0.0005729948/
11,0.0005386151/
12,0.0005062982/
13,0.00047592033/
14,0.0004473651/
15,0.0004205232/
16,0.0003952918/
17,0.0003715743/
18,0.00034927984/
19,0.00032832305/
20,0.00030862365/
21,0.00029010623/
22,0.00027269986/
23,0.00025633787/
24,0.0002409576/
25,0.00022650014/
26,0.00021291013/
27,0.00020013553/
28,0.0001881274/
29,0.00017683975/
30,0.00016622937/
31,0.0001562556/
32,0.00014688027/
33,0.00013806745/
34,0.00012978341/
35,0.0001219964/
36,0.00011467662/
37,0.000107796026/
38,0.00010132827/
39,9.524857e-05/
40,8.9533656e-05/
41,8.4161635e-05/
42,7.911194e-05/
43,7.436522e-05/
44,6.9903304e-05/
45,6.570911e-05/
46,6.1766565e-05/
47,5.806057e-05/
48,5.4576936e-05/
49,5.130232e-05/
50,4.822418e-05/
51,4.533073e-05/
52,4.2610885e-05/
53,4.0054234e-05/
54,3.765098e-05/
55,3.5391924e-05/
56,3.326841e-05/
57,3.1272306e-05/
58,2.9395967e-05/
59,2.763221e-05/
60,2.5974277e-05/
61,2.441582e-05/
62,2.2950871e-05/
63,2.1573818e-05/
64,2.0279389e-05/
65,1.9062625e-05/
66,1.7918868e-05/
67,1.6843736e-05/
68,1.5833111e-05/
69,1.4883125e-05/
70,1.3990138e-05/
71,1.31507295e-05/
72,1.2361686e-05/
73,1.1619984e-05/
74,1.0922786e-05/
75,1.02674185e-05/
76,1e-05/
77,1e-05/
78,1e-05/
79,1e-05/
80,1e-05/
81,1e-05/
82,1e-05/
83,1e-05/
84,1e-05/
85,1e-05/
86,1e-05/
87,1e-05/
88,1e-05/
89,1e-05/
90,1e-05/
91,1e-05/
