2,0.8091886190934615/
3,0.829199137687683/
4,0.8129590920968489/
5,0.8394990002025258/
6,0.8368273223530163/
7,0.8557135358723728/
8,0.8275691944902593/
9,0.8446366173570806/
10,0.8570466780662537/
11,0.8641766964305531/
12,0.8735190564935857/
13,0.875539836883545/
14,0.8762708694284612/
15,0.8696893709356135/
16,0.8712626145102761/
17,0.8786413054032759/
18,0.8645928324352611/
19,0.870084362897006/
20,0.8828277893499895/
21,0.8778505212610418/
22,0.8819251814755527/
23,0.8819751067595049/
24,0.883533230044625/
25,0.8837766109813343/
26,0.8827419142289595/
27,0.8824437143585898/
28,0.8825737810134888/
29,0.8835424095934088/
30,0.8718125042048368/
31,0.8853027137843046/
32,0.8889946170286699/
33,0.8845482169498097/
34,0.8773425381833857/
35,0.8787256002426147/
36,0.882123444297097/
37,0.8792736350406299/
38,0.8824764004620639/
39,0.8780760821429165/
40,0.8811529319936579/
41,0.8807288187200373/
42,0.8833435110612349/
43,0.8841189648888328/
44,0.8779740858078003/
45,0.8826139853217385/
46,0.8795025244626132/
47,0.8816460193287242/
48,0.8819145568934353/
49,0.879398959983479/
50,0.8827439535747875/
51,0.8873807131160389/
52,0.8787080509012396/
53,0.8816700818321922/
54,0.8839075556668369/
55,0.8816353193196383/
56,0.8824450185082175/
57,0.8822903288494457/
58,0.8837440987066789/
59,0.8803124031153592/
60,0.881388193694028/
61,0.8828398760882291/
62,0.8786717035553672/
63,0.8813859428058971/
64,0.8803789923407814/
65,0.8832475352287292/
66,0.884829134941101/
67,0.8841551321203058/
68,0.8848770718141036/
69,0.8816650941155174/
70,0.8823417641899802/
71,0.8835416642102328/
72,0.88290982874957/
73,0.8829361308704723/
74,0.8826655439897017/
75,0.8833312563462691/
76,0.881881472197446/
77,0.8837302444197915/
78,0.8827879875356501/
79,0.883903824632818/
80,0.8833314362439242/
81,0.884476431499828/
82,0.8837161705710671/
83,0.8827401839603077/
84,0.8825380639596418/
85,0.8837687514045022/
86,0.8834136637774381/
87,0.8835290460153059/
88,0.8826582275737416/
89,0.8827701538259333/
90,0.8838901927254417/
91,0.8820729049769315/
